"","V1"
"1",-5.48778343599528
"2",-5.9570068467051
"3",-6.8382327022995
"4",-7.56692890816762
"5",-7.51604991317093
"6",-6.99841208462614
"7",-7.1174594482928
"8",-7.86824582588237
"9",-6.86796995501359
"10",-5.71193615230801
"11",-6.92794024157214
"12",-7.94809153846939
"13",-7.60106241309256
"14",-6.09761061265437
"15",-7.10260310985625
"16",-8.0940691019762
"17",-7.38215501852342
"18",-6.91195737958661
"19",-5.89581054357562
"20",-6.93394265291522
"21",-6.4527554898217
"22",-10.0098695203469
"23",-7.55433846182559
"24",-6.49599812322515
"25",-8.00305867294557
"26",-6.34799631346641
"27",-5.98236982474401
"28",-6.94647765922241
"29",-5.53962791564212
"30",-7.71693174863459
"31",-6.38883803836364
"32",-6.37891523488214
"33",-7.66898340699624
"34",-8.10148429411607
"35",-6.75370278206299
"36",-7.21467648405077
"37",-5.09267417193384
"38",-5.55415390844301
"39",-6.50652321231355
"40",-7.83152219505253
"41",-7.30341603441238
"42",-5.15934416884877
"43",-7.85261491992373
"44",-5.09665944637427
"45",-7.02423645831839
"46",-7.25074716921991
"47",-7.55552491876036
"48",-4.63262735482384
"49",-8.11690031878676
"50",-6.28667621058228
"51",-5.54857045042217
"52",-6.1481845657732
"53",-6.37052441582096
"54",-5.98896138290071
"55",-6.9349573236442
"56",-7.01144250571025
"57",-7.68333844115991
"58",-7.51757284636371
"59",-8.21023247417288
"60",-6.16326315573006
"61",-6.78874495284906
"62",-7.46825353627242
"63",-7.06188021821665
"64",-7.56527696586269
"65",-7.56154393031163
"66",-7.15734678370784
"67",-7.10194049940886
"68",-6.69800292252863
"69",-7.55102029351915
"70",-7.40845760365108
"71",-7.68341754581738
"72",-6.11881802090419
"73",-6.48226757245919
"74",-6.70768986671716
"75",-6.57617399522869
"76",-7.27146952587372
"77",-7.41049834840278
"78",-6.82946341700773
"79",-6.61992857525754
"80",-5.49024077560624
"81",-7.24610319209941
"82",-6.47708346309771
"83",-6.86653540381977
"84",-6.37218324141744
"85",-6.59886845005036
"86",-5.00380507223566
"87",-6.74486384318206
"88",-5.60632656617883
"89",-7.34108250090625
"90",-7.72816463050504
"91",-7.44773533005811
"92",-6.33051649897568
"93",-6.25569102139048
"94",-7.0128089260637
"95",-5.38512003741479
"96",-5.01889365919407
"97",-6.29694533638883
"98",-7.04828563447662
"99",-6.63093531986502
"100",-5.40593687756495
"101",-6.96294100484001
"102",-8.35022182305697
"103",-7.04327258328805
"104",-5.82073633885586
"105",-5.92865122626932
"106",-6.36374998850725
"107",-6.44259017756529
"108",-6.18612163156416
"109",-4.91112868536837
"110",-6.17967632088566
"111",-7.54871549446039
"112",-7.4028731776569
"113",-5.99235643998346
"114",-7.02452320040303
"115",-5.66506020935209
"116",-5.59761605558212
"117",-5.13607185293207
"118",-6.58955050472659
"119",-7.1751002446811
"120",-6.77549536724395
"121",-9.27738213491783
"122",-7.75984305273596
"123",-6.15397786777289
"124",-6.86668716355848
"125",-6.40041508273059
"126",-7.87596048948958
"127",-7.53801065118695
"128",-7.04653960936092
"129",-7.53500938779788
"130",-6.34185460005123
"131",-8.05999745671304
"132",-5.6053546450227
"133",-5.88004085639855
"134",-8.04385086731316
"135",-5.94509154488627
"136",-9.13083699818151
"137",-6.17157555376234
"138",-6.830414432868
"139",-9.18174439890197
"140",-6.80186564676763
"141",-6.87123214280509
"142",-8.37803158867845
"143",-5.93083736951042
"144",-7.49610749645427
"145",-5.71611634620024
"146",-7.3187892810307
"147",-6.24662963414293
"148",-8.61117332445552
"149",-8.59608004644153
"150",-5.40993298372084
"151",-7.34681623129792
"152",-5.81223546402795
"153",-6.80118067478014
"154",-6.42017634097938
"155",-4.77124110444533
"156",-7.96051418929655
"157",-7.53771717277468
"158",-7.11383117516476
"159",-7.0662493870295
"160",-6.46839379050776
"161",-4.93770801954013
"162",-7.7644638399916
"163",-4.58654292718936
"164",-6.98721435564346
"165",-5.80740375414538
"166",-7.65011280682683
"167",-7.2837342823407
"168",-5.99695552770913
"169",-8.884794014081
"170",-6.82475162029483
"171",-7.18735610400192
"172",-6.89531265704731
"173",-4.98540624991402
"174",-7.59287294849954
"175",-4.88164661682824
"176",-6.07359225011378
"177",-6.04635191602609
"178",-5.4167701369173
"179",-7.35881058333598
"180",-7.58727901021549
"181",-7.31761250211765
"182",-5.99099878115554
"183",-7.49015384144155
"184",-8.0580900625679
"185",-4.40708222934629
"186",-7.87613643889156
"187",-6.59010510835539
"188",-6.90870707195913
"189",-8.17097883045383
"190",-6.31264449895881
"191",-5.82216433337853
"192",-6.78768797896247
"193",-7.65301113234398
"194",-7.24542573084884
"195",-8.69369794566053
"196",-6.41273064686589
"197",-7.24483474786081
"198",-6.46059079876281
"199",-7.06654808050854
"200",-5.69069024712259
"201",-6.62233032783369
"202",-4.07437840617407
"203",-6.49625676116527
"204",-6.81505694140952
"205",-7.77222470968589
"206",-6.57073676249091
"207",-7.75456422431086
"208",-6.23332267662174
"209",-7.83156822059112
"210",-6.33341275581903
"211",-7.16840234312211
"212",-8.35268221356126
"213",-5.55560408951346
"214",-6.11585229502256
"215",-7.93414985362428
"216",-6.94333517376882
"217",-7.75546046646527
"218",-7.39300834990707
"219",-6.28326981495957
"220",-5.90318255139363
"221",-5.85941745121399
"222",-6.08941271866843
"223",-6.92204701514119
"224",-10.093225417142
"225",-6.24408089146661
"226",-5.89006082407492
"227",-6.29308465436602
"228",-7.97889843714473
"229",-6.31980883733176
"230",-5.81084311425318
"231",-8.25470565504411
"232",-6.25358174967997
"233",-4.32814633796664
"234",-8.43189217017102
"235",-5.98674153556584
"236",-7.12383985756703
"237",-8.18780049029587
"238",-7.70550750565106
"239",-6.77264856102057
"240",-7.19140646427852
"241",-8.17079197937918
"242",-7.0471419290589
"243",-7.72984496956277
"244",-6.04302536261782
"245",-5.88576798201225
"246",-7.12854757769028
"247",-8.56460375904801
"248",-6.31760493750364
"249",-8.73357730032657
"250",-7.29866003104248
"251",-6.29346637304947
"252",-5.88052196436184
"253",-6.14218369573166
"254",-5.8313378116334
"255",-7.38166990051302
"256",-8.11324168339119
"257",-7.37475643645043
"258",-4.9814958346705
"259",-5.7272080995358
"260",-7.07446744749678
"261",-7.60665606677455
"262",-5.5662964520585
"263",-6.56281828606978
"264",-6.70754716363816
"265",-8.92296517442935
"266",-5.31157445406298
"267",-7.62031429677172
"268",-6.38703682272806
"269",-5.89612501392136
"270",-5.58150413880085
"271",-5.46574100928599
"272",-6.97558710874523
"273",-6.23197044125992
"274",-8.87131963435531
"275",-6.80745648410626
"276",-5.89408903917899
"277",-7.11997784191311
"278",-7.8132577452361
"279",-6.35171351834788
"280",-6.5736392887599
"281",-8.33078694764818
"282",-7.95634890905311
"283",-5.60373148623158
"284",-7.20185613281973
"285",-8.63512199026131
"286",-6.29662021706258
"287",-7.25445928385971
"288",-5.93580809953073
"289",-5.85677609854832
"290",-7.10337727151929
"291",-8.08352032422629
"292",-4.32297868025792
"293",-6.0041816868226
"294",-6.09266577796656
"295",-8.48701223938519
"296",-5.6771745558959
"297",-7.09639950526535
"298",-7.12923943605815
"299",-5.74410621328124
"300",-7.29411154454063
"301",-5.76801844089115
"302",-6.17084731290604
"303",-7.55479670391991
"304",-6.10163110819237
"305",-6.99013016822509
"306",-5.94512018330013
"307",-7.07442040650816
"308",-6.46194561035414
"309",-8.15232245144209
"310",-6.49131703231926
"311",-5.39700122199767
"312",-6.61350145492669
"313",-5.71362540640421
"314",-8.3684358497915
"315",-7.16639678255318
"316",-5.91771227296671
"317",-6.22129634948516
"318",-8.22238374948305
"319",-7.78871283729174
"320",-7.72290171713354
"321",-6.72909535842565
"322",-7.35649218622113
"323",-6.56199786050387
"324",-7.61706242506776
"325",-6.91290085284144
"326",-6.21521724879351
"327",-5.57407987055551
"328",-6.65532704217662
"329",-7.73395623377056
"330",-7.44506112957776
"331",-6.43795183619065
"332",-7.86240091144164
"333",-6.57289408636997
"334",-8.08546625574302
"335",-7.1523579260495
"336",-7.42548375374866
"337",-5.69138315132219
"338",-6.44595173896862
"339",-7.09737899814283
